image_id,vision_prob,vision_pred,vision_model
cct0065,0.143,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0066,0.152,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0067,0.099,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0068,0.145,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0069,0.1,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0070,0.805,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0071,0.077,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0072,0.068,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0073,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0074,0.113,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0075,0.042,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0076,0.917,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0077,0.927,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0078,0.912,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0079,0.942,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0080,0.936,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0081,0.945,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0082,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0083,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0084,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0085,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0086,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0087,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0088,0.954,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0089,0.963,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0090,0.974,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0091,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0092,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0093,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0094,0.695,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0095,0.808,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0096,0.847,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0097,0.885,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0098,0.294,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0099,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0100,0.026,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0101,0.022,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0102,0.027,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0103,0.946,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0104,0.902,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0105,0.136,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0106,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0107,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0108,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0109,0.959,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0110,0.978,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0111,0.971,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0112,0.945,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0113,0.937,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0114,0.962,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0115,0.632,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0116,0.04,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0117,0.031,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0118,0.744,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0119,0.188,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0120,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0121,0.923,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0122,0.921,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0123,0.907,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0124,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0125,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0126,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0127,0.958,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0128,0.966,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0129,0.927,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0130,0.586,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0131,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0132,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0133,0.877,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0134,0.906,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0135,0.89,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0136,0.032,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0137,0.051,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0138,0.054,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0139,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0140,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0141,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0142,0.939,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0143,0.934,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0144,0.946,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0145,0.011,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0146,0.014,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0147,0.019,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0148,0.024,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0149,0.012,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0150,0.017,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0151,0.277,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0152,0.015,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0153,0.027,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0154,0.845,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0155,0.902,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0156,0.894,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0157,0.8,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0158,0.778,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0159,0.82,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0160,0.11,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0161,0.862,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0162,0.883,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0163,0.877,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0164,0.866,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0165,0.301,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0166,0.265,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0167,0.418,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0168,0.724,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0169,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0170,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0171,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0172,0.024,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0173,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0174,0.039,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0175,0.946,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0176,0.896,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0177,0.923,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0178,0.94,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0179,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0180,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0181,0.625,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0182,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0183,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0184,0.738,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0185,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0186,0.865,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0187,0.854,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0188,0.859,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0189,0.896,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0190,0.869,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0191,0.866,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0192,0.869,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0193,0.564,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0194,0.545,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0195,0.694,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0196,0.143,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0197,0.042,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0198,0.031,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0199,0.864,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0200,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0201,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0202,0.972,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0203,0.533,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0204,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0205,0.967,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0206,0.964,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0207,0.915,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0208,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0209,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0210,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0211,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0212,0.012,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0213,0.0,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0214,0.605,1,MegaDetector v5a.0.0 with repeat-detection elimination
cct0215,0.423,0,MegaDetector v5a.0.0 with repeat-detection elimination
cct0216,0.796,1,MegaDetector v5a.0.0 with repeat-detection elimination
