item_id,sentence,collection_round,negative_votes,neutral_votes,positive_votes,model_p_negative,model_p_neutral,model_p_positive,model_label
r2-0017297,"He's delighted by the peg board at each table waiting for him to invent his own fun, only because he acts like a five year old.",2,0,1,4,0.01641368679702282,0.11738353222608566,0.8662027716636658,positive
r1-0054049,"There was a tattered, torn and dirty Lee's bahn mi paper bag on the ground.",1,3,2,0,0.720695972442627,0.2679715156555176,0.011332501657307148,negative
r2-0006413,I bought a new toy and throw it in the sea.,2,0,5,0,0.26273247599601746,0.5543273687362671,0.18294017016887665,neutral
r2-0001771,There were too many people in the shop and I felt akward.,2,5,0,0,0.5690072178840637,0.4035988450050354,0.027393875643610954,negative
r1-0038841,"Not necessarily a complaint, but they don't serve beverages here or at least I wasn't offered.",1,4,1,0,0.7570133209228516,0.22999517619609833,0.012991489842534065,negative
r1-0085111,Papa johns on anthem is closed.,1,3,2,0,0.6253272891044617,0.35321715474128723,0.021455585956573486,negative
r1-0012385,"But when we overpaid him, he called the next day and told us we had a $200 refund coming because the move took less time than anticipated.",1,0,0,5,0.4526040852069855,0.49284985661506653,0.054546065628528595,neutral
r1-0067694,"I can't really remember, though.",1,1,4,0,0.20098797976970673,0.7507467269897461,0.048265356570482254,neutral
r2-0010059,Looking at their menu.,2,0,5,0,0.02312709577381611,0.891414999961853,0.08545798063278198,neutral
r1-0083656,When they priced out very similar vehicles the best they could do was $525 a month.,1,0,3,2,0.6962629556655884,0.2857588231563568,0.01797814667224884,negative
r2-0007988,Great locally owned business.,2,0,0,5,0.004996416158974171,0.03365257382392883,0.9613510370254517,positive
r1-0030181,"Came here because they had been advertising wing night and although we have our usual wing spot, we decided to give this place a try.",1,0,2,3,0.01144125871360302,0.48014742136001587,0.5084112882614136,positive
r1-0063857,We have been here three times in the last month and it is always the same lady bar tending.,1,0,4,1,0.4564829170703888,0.499844491481781,0.04367256909608841,neutral
r2-0008285,Very rude and unattentive.,2,5,0,0,0.8897177577018738,0.09918949753046036,0.011092819273471832,negative
r2-0001973,I won 5 dollars after spending 500 on lottery tickets.,2,2,3,0,0.013066677376627922,0.36259347200393677,0.6243398785591125,positive
r2-0000237,This place is just as AWESOME as it's sister store on Blue Diamond. We went to Blue Diamond's sister store.,2,0,0,5,0.00277766864746809,0.009097537957131863,0.9881247282028198,positive
r2-0017932,I do not understand why it takes over 2 weeks to review the records of a completely healthy potential patient. It pisses me off.,2,4,0,1,0.9362519979476929,0.058158114552497864,0.0055898642167449,negative
r2-0016050,"the palce is good, they help to wash the car at a price",2,0,0,5,0.014513874426484108,0.12135014683008194,0.8641359806060791,positive
r1-0094345,I can't stress this enough.,1,0,5,0,0.25668996572494507,0.20509353280067444,0.5382165312767029,positive
